dataset,source,rows,columns,missing_rate_pct,duplicate_rate_pct,number_as_string,enum_as_numeric,unnormalized_features,tailed_distributions,has_duplicate_rows,has_empty_rows,excessive_missing_cols,mixed_types_cols,constant_features,duplicate_columns,has_ambiguous_labels,has_train_test_contamination
ag_news,huggingface,120000,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
glue_sst2,huggingface,67349,3,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0
dbpedia_14,huggingface,560000,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
rotten_tomatoes,huggingface,8530,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
tweet_eval_emotion,huggingface,3257,2,0.0,0.77,0,0,0,0,1,0,0,0,0,0,0,0
yahoo_answers_topics,huggingface,1400000,5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
glue_cola,huggingface,8551,3,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0
amazon_polarity,huggingface,3600000,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
imdb,huggingface,25000,2,0.0,0.38,0,0,0,0,1,0,0,0,0,0,0,1
yelp_review_full,huggingface,650000,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
blood_transfusion,openml,598,5,0.0,25.92,0,0,1,2,1,0,0,0,0,0,0,1
adult,openml,39073,15,0.88,0.08,0,0,3,2,1,0,0,0,0,0,0,1
credit_g,openml,800,21,0.0,0.0,0,4,1,0,0,0,0,0,0,0,0,0
mnist_784,openml,56000,785,0.0,0.0,0,133,0,401,0,0,0,0,66,66,0,0
wine_quality_white,openml,3918,12,0.0,16.03,0,0,0,1,1,0,0,0,0,0,0,1
phoneme,openml,4323,6,0.0,0.07,0,0,0,0,1,0,0,0,0,0,0,1
spam,openml,3680,58,0.0,7.72,0,0,3,54,1,0,0,0,0,0,0,1
titanic,openml,1047,14,21.11,0.0,1,3,0,3,0,0,3,0,0,0,0,0
bank_marketing,openml,36168,17,0.0,0.0,0,0,2,4,0,0,0,0,0,0,0,0
diabetes,openml,614,9,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
wine,uci,142,14,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0
letter_recognition,uci,16000,17,0.0,5.92,0,0,0,0,1,0,0,0,0,0,0,1
car_evaluation,uci,1382,7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
dermatology,uci,292,35,0.0,0.0,1,34,0,4,0,0,0,0,0,0,0,0
breast_cancer_wisconsin,uci,559,11,0.0,0.89,1,2,1,2,1,0,0,0,0,0,0,1
balance_scale,uci,500,5,0.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0
mushroom,uci,6499,23,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
abalone,uci,3341,9,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
iris,uci,120,5,0.0,1.67,0,0,0,0,1,0,0,0,0,0,0,1
ecoli,uci,268,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
